LAMMPS data file via write_data,version,timestep=1 

32000 atoms
2 atom types

7.2913725482e-02 7.1327086275e+01 xlo xhi
7.2913725485e-02 7.1327086275e+01 ylo yhi
7.2913725487e-02 7.1327086275e+01 zlo zhi

Masses

1 5.5847000000e+01 
2 5.8693400000e+01 

Atoms # atomic

1 1 -2.8960101307e+00 2.4480528105e+00 6.6669849673e-01 0 0 0
2 2 -1.1146558170e+00 4.2294071242e+00 6.6669849673e-01 0 0 0
3 2 -1.1146558170e+00 2.4480528105e+00 2.4480528105e+00 0 0 0
4 2 -2.8960101307e+00 4.2294071242e+00 2.4480528105e+00 0 0 0
5 1 6.6669849672e-01 2.4480528105e+00 6.6669849673e-01 0 0 0
8 2 6.6669849672e-01 4.2294071242e+00 2.4480528105e+00 0 0 0
81 1 -2.8960101307e+00 6.0107614379e+00 6.6669849673e-01 0 0 0
83 2 -1.1146558170e+00 6.0107614379e+00 2.4480528105e+00 0 0 0
85 1 6.6669849672e-01 6.0107614379e+00 6.6669849673e-01 0 0 0
841 1 -2.8960101307e+00 2.4480528105e+00 4.2294071242e+00 0 0 0
842 2 -1.1146558170e+00 4.2294071242e+00 4.2294071242e+00 0 0 0
845 1 6.6669849672e-01 2.4480528105e+00 4.2294071242e+00 0 0 0
921 1 -2.8960101307e+00 6.0107614379e+00 4.2294071242e+00 0 0 0
925 1 6.6669849672e-01 6.0107614379e+00 4.2294071242e+00 0 0 0
6 2 2.4480528105e+00 4.2294071242e+00 6.6669849673e-01 0 0 0
7 2 2.4480528105e+00 2.4480528105e+00 2.4480528105e+00 0 0 0
9 1 4.2294071242e+00 2.4480528105e+00 6.6669849673e-01 0 0 0
12 2 4.2294071242e+00 4.2294071242e+00 2.4480528105e+00 0 0 0
87 2 2.4480528105e+00 6.0107614379e+00 2.4480528105e+00 0 0 0
89 1 4.2294071242e+00 6.0107614379e+00 6.6669849673e-01 0 0 0
846 2 2.4480528105e+00 4.2294071242e+00 4.2294071242e+00 0 0 0
849 1 4.2294071242e+00 2.4480528105e+00 4.2294071242e+00 0 0 0
929 1 4.2294071242e+00 6.0107614379e+00 4.2294071242e+00 0 0 0
10 2 6.0107614379e+00 4.2294071242e+00 6.6669849673e-01 0 0 0
11 2 6.0107614379e+00 2.4480528105e+00 2.4480528105e+00 0 0 0
13 1 7.7921157516e+00 2.4480528105e+00 6.6669849673e-01 0 0 0
16 2 7.7921157516e+00 4.2294071242e+00 2.4480528105e+00 0 0 0
91 2 6.0107614379e+00 6.0107614379e+00 2.4480528105e+00 0 0 0
93 1 7.7921157516e+00 6.0107614379e+00 6.6669849673e-01 0 0 0
850 2 6.0107614379e+00 4.2294071242e+00 4.2294071242e+00 0 0 0
853 1 7.7921157516e+00 2.4480528105e+00 4.2294071242e+00 0 0 0
933 1 7.7921157516e+00 6.0107614379e+00 4.2294071242e+00 0 0 0
14 2 9.5734700654e+00 4.2294071242e+00 6.6669849673e-01 0 0 0
15 2 9.5734700654e+00 2.4480528105e+00 2.4480528105e+00 0 0 0
17 1 1.1354824379e+01 2.4480528105e+00 6.6669849673e-01 0 0 0
20 2 1.1354824379e+01 4.2294071242e+00 2.4480528105e+00 0 0 0
95 2 9.5734700654e+00 6.0107614379e+00 2.4480528105e+00 0 0 0
97 1 1.1354824379e+01 6.0107614379e+00 6.6669849673e-01 0 0 0
854 2 9.5734700654e+00 4.2294071242e+00 4.2294071242e+00 0 0 0
857 1 1.1354824379e+01 2.4480528105e+00 4.2294071242e+00 0 0 0
937 1 1.1354824379e+01 6.0107614379e+00 4.2294071242e+00 0 0 0
18 2 1.3136178693e+01 4.2294071242e+00 6.6669849673e-01 0 0 0
19 2 1.3136178693e+01 2.4480528105e+00 2.4480528105e+00 0 0 0
21 1 1.4917533007e+01 2.4480528105e+00 6.6669849673e-01 0 0 0
24 2 1.4917533007e+01 4.2294071242e+00 2.4480528105e+00 0 0 0
99 2 1.3136178693e+01 6.0107614379e+00 2.4480528105e+00 0 0 0
101 1 1.4917533007e+01 6.0107614379e+00 6.6669849673e-01 0 0 0
858 2 1.3136178693e+01 4.2294071242e+00 4.2294071242e+00 0 0 0
861 1 1.4917533007e+01 2.4480528105e+00 4.2294071242e+00 0 0 0
941 1 1.4917533007e+01 6.0107614379e+00 4.2294071242e+00 0 0 0
22 2 1.6698887320e+01 4.2294071242e+00 6.6669849673e-01 0 0 0
23 2 1.6698887320e+01 2.4480528105e+00 2.4480528105e+00 0 0 0
25 1 1.8480241634e+01 2.4480528105e+00 6.6669849673e-01 0 0 0
28 2 1.8480241634e+01 4.2294071242e+00 2.4480528105e+00 0 0 0
103 2 1.6698887320e+01 6.0107614379e+00 2.4480528105e+00 0 0 0
105 1 1.8480241634e+01 6.0107614379e+00 6.6669849673e-01 0 0 0
862 2 1.6698887320e+01 4.2294071242e+00 4.2294071242e+00 0 0 0
865 1 1.8480241634e+01 2.4480528105e+00 4.2294071242e+00 0 0 0
945 1 1.8480241634e+01 6.0107614379e+00 4.2294071242e+00 0 0 0
26 2 2.0261595948e+01 4.2294071242e+00 6.6669849673e-01 0 0 0
27 2 2.0261595948e+01 2.4480528105e+00 2.4480528105e+00 0 0 0
29 1 2.2042950261e+01 2.4480528105e+00 6.6669849673e-01 0 0 0
32 2 2.2042950261e+01 4.2294071242e+00 2.4480528105e+00 0 0 0
